--- 
ACS1.0: Mon Apr  1 18:04:30 2024
Mission: Raider
QSP: RQ-AL42 
Cx: 
Vx: 
Name: Scout-Raider
Tons: 100
TL: 11 
Overtonnage: 10
MCr: 67.2
Owner: Arkesh Spacers
Allegiance: RrAS

Crew comfort: -3
Passengers: 0
Passenger demand: -5
Low berths: 
Cargo: 3
Fuel: 28
Fuel treatment: SP
Computer: Model/2 std

Comments: |-
   Using a 100-ton, modified scout/courier hull, the Scout-Raider mounts jump drive-A, maneuver drive-B, and power plant-B, giving a performance of jump-2 and 4G acceleration. Fuel tankage supports a 2 parsec jump, at 10t per parsec, and 2 months of operations. Attached to the bridge is a Computer Model/2 std. There are 4 double staterooms and no low berths. Installed weaponry include one short-ranged Bay KK Missile. Cargo capacity is 3 tons. The ship has a lift body hull, with scoops for frontier refueling. It is overtonned, meaning it lacks atmospheric agility and may have somewhat sluggish controls overall.
   
   The ship has 6 crew.  

Components:
#
#   TONS   # HULL                                MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -   100   . Lift body Hull                     16.0  ,HH.0  L .....
 -     1   . Landing legs with pads              1.0  ,HL.1  K .....
 -     0   . Armor: 1 Blast Plate                0.0  ,HA.1  . .....
 -     0   . Coating: Slick                      0.0  ,HC.1  . .....
#
#   TONS   # DRIVES                              MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -    20   . Jump Fuel (2  parsecs)              0.0  ,DF.0  . .....
 -     8   . Plant Fuel (2 months)               0.0  ,DF.0  . .....
 -     3   . Maneuver Drive-4 (B)                6.0  ,DM41  B .....
 -    10   . Jump Drive-2 (A)                   10.0  ,DJ21  A .....
 -     7   . PowerPlant-4 (B)                    7.0  ,DP41  B .....
 -     2   . Fuel Scoops with Purifier           1.1  ,DF.2 SP .....
#
#   TONS   # OPERATIONS                          MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -     1   . Life Support Standard               1.0  ,OLS0  . .....
 -     2   . Clinic                              1.0  ,OM.1  . .....
 -     2   . Computer Model/2 std                5.0  ,OC21  . .....
 -    12   . Spacious Bridge                     0.7  ,OB.0  2 .....
#
#   TONS   # S-SENSORS                           MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -     0   . AR Surf Communicator                2.0  ,SS.1  . .....
 -     0   . AR Surf Jammer                      2.0  ,SS.1  . .....
 -     0   . AR Surf Neutrino Detector           2.0  ,SS.1  . .....
 -     0   . AR Surf Radar                       2.0  ,SS.1  . .....
 -     0   . AR Surf Scope                       2.0  ,SS.1  . .....
 -     0   . SR Surf Stealth Mask                1.5  ,SS.1  . .....
#
#   TONS   # WEAPONS                             MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -    25   . SR Bay KK Missile                   5.5  ,WW.1  5 .....
 -     1   . Magazine                            0.0  ,WM.0  . .....
#
#   TONS   # CREW                                MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -     8  4x Crew Double                         0.4  ,CS.0  2 .....
 -     4   . Crew Commons                        0.0  ,CC.0  . .....
 -     1   . Crew Common Fresher                 1.0  ,CF.0  2 .....
#
#   TONS   # PAYLOAD                             MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -     3   . Cargo Hold Basic                    0.0  ,PC.0  . .....

ref: [<a href='http://www.farfuture.net/'>Far Future Enterprises</a>]

